year,precipitation (in.)
1863,47.73
1864,39.14
1865,50.46
1866,42.10
1867,49.83
1868,49.09
1869,50.01
1870,49.74
1871,46.23
1872,40.75
1873,58.28
1874,36.89
1875,41.40
1876,39.92
1877,45.53
1878,37.17
1879,41.78
1880,31.35
1881,40.35
1882,39.97
1883,40.76
1884,48.60
1885,38.82
1886,40.57
1887,42.59
1888,51.97
1889,64.69
1890,46.43
1891,48.63
1892,36.33
1893,38.61
1894,51.99
1895,33.30
1896,33.50
1897,48.60
1898,46.03
1899,44.66
1900,35.19
1901,44.34
1902,52.26
1903,45.84
1904,41.84
1905,38.35
1906,43.84
1907,43.78
1908,36.16
1909,32.34
1910,34.67
1911,45.14
1912,47.09
1913,43.41
1914,31.15
1915,44.10
1916,41.66
1917,33.12
1918,34.28
1919,41.30
1920,38.20
1921,35.77
1922,33.96
1923,31.48
1924,41.56
1925,40.04
1926,39.89
1927,35.61
1928,40.29
1929,40.56
1930,26.08
1931,32.54
1932,44.49
1933,44.24
1934,44.78
1935,37.61
1936,42.17
1937,41.54
1938,43.40
1939,40.43
1940,40.06
1941,31.39
1942,53.73
1943,33.08
1944,41.96
1945,49.48
1946,37.35
1947,45.41
1948,48.23
1949,38.52
1950,42.64
1951,44.16
1952,55.55
1953,50.83
1954,35.65
1955,43.28
1956,44.96
1957,31.68
1958,44.87
1959,36.27
1960,39.97
1961,39.47
1962,40.98
1963,33.54
1964,33.84
1965,27.33
1966,34.44
1967,39.16
1968,34.91
1969,39.23
1970,37.47
1971,45.95
1972,53.63
1973,51.06
1974,39.34
1975,53.50
1976,42.97
1977,43.46
1978,44.13
1979,48.61
1980,32.95
1981,34.62
1982,41.12
1983,50.42
1984,49.08
1985,40.14
1986,45.89
1987,39.85
1988,38.32
1989,47.24
1990,46.00
1991,35.76
1992,39.08
1993,47.78
1994,49.18
1995,40.16
1996,60.46
1997,33.31
1998,41.89
1999,36.58
2000,30.22
2001,35.15
2002,45.51
2003,56.32
2004,52.62
2005,49.90
2006,52.26
