enrollee_id,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
14569,0.704,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,2,71,1.0
10557,0.594,Female,Has relevent experience,Full time course,Masters,STEM,9,50-99,Early Stage Startup,never,217,1.0
14095,0.5959999999999999,Male,Has relevent experience,Part time course,Graduate,Humanities,2,100-500,Pvt Ltd,2,12,1.0
16300,0.614,Male,Has relevent experience,Full time course,Masters,STEM,4,50-99,Pvt Ltd,1,20,1.0
14550,0.534,Male,No relevent experience,Full time course,Graduate,STEM,<1,50-99,Early Stage Startup,1,52,1.0
6607,0.704,Male,Has relevent experience,Full time course,Graduate,STEM,5,<10,Early Stage Startup,never,60,1.0
8143,0.724,Female,No relevent experience,Full time course,Graduate,STEM,<1,10000+,Pvt Ltd,4,70,1.0
24964,0.554,Male,Has relevent experience,Full time course,Masters,STEM,2,1000-4999,Pvt Ltd,1,27,1.0
17068,0.8200000000000001,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,Pvt Ltd,1,83,1.0
18631,0.714,Male,Has relevent experience,Full time course,Masters,STEM,11,100-500,Pvt Ltd,4,9,1.0
8365,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,5,<10,Early Stage Startup,2,147,1.0
1848,0.564,Male,Has relevent experience,Part time course,Masters,STEM,9,10000+,Pvt Ltd,4,27,1.0
29272,0.654,Male,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,16,1.0
24909,0.694,Male,No relevent experience,Full time course,Graduate,STEM,10,50-99,Pvt Ltd,2,24,1.0
31163,0.554,Male,Has relevent experience,Full time course,Graduate,STEM,7,10/49,Pvt Ltd,4,70,1.0
1018,0.564,Male,Has relevent experience,Full time course,Graduate,STEM,11,100-500,Pvt Ltd,1,69,1.0
32261,0.649,Male,Has relevent experience,Part time course,Graduate,STEM,12,50-99,Funded Startup,2,42,1.0
32010,0.8200000000000001,Male,Has relevent experience,Part time course,Graduate,STEM,11,10000+,Pvt Ltd,4,31,1.0
18742,0.564,Male,Has relevent experience,Full time course,Masters,STEM,3,10/49,Pvt Ltd,1,96,1.0
18640,0.634,Male,Has relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,4,7,1.0
30224,0.684,Male,No relevent experience,Full time course,Masters,Other,3,50-99,Pvt Ltd,2,84,1.0
7938,0.554,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,3,22,1.0
14335,0.5129999999999999,Male,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,2,97,1.0
24135,0.644,Male,Has relevent experience,Full time course,Masters,STEM,2,10/49,Pvt Ltd,1,241,1.0
17210,0.674,Male,Has relevent experience,Full time course,Masters,STEM,3,10/49,Pvt Ltd,never,20,1.0
21259,1.02,Male,No relevent experience,Full time course,Graduate,STEM,1,50-99,NGO,1,42,1.0
32809,0.524,Male,Has relevent experience,Full time course,Masters,STEM,10,<10,Pvt Ltd,1,70,1.0
16382,0.564,Male,No relevent experience,Full time course,Masters,STEM,<1,10000+,Pvt Ltd,2,45,1.0
29612,0.694,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Pvt Ltd,1,3,1.0
5734,0.554,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Early Stage Startup,2,0,1.0
31748,0.694,Male,Has relevent experience,Full time course,Masters,STEM,7,10000+,Public Sector,1,76,1.0
22553,0.714,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,129,1.0
33258,0.9860000000000001,Male,Has relevent experience,Full time course,Masters,STEM,9,10/49,Pvt Ltd,4,107,1.0
6828,0.664,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,1,64,1.0
22248,0.91,Female,Has relevent experience,Part time course,Graduate,STEM,16,100-500,Other,3,10,1.0
2203,0.614,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,4,54,1.0
26326,0.89,Female,Has relevent experience,Part time course,Graduate,STEM,15,10000+,Other,>4,58,1.0
8143,0.604,Female,No relevent experience,Full time course,Graduate,STEM,<1,10000+,Pvt Ltd,4,63,1.0
16544,0.86,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,3,16,1.0
972,0.907,Male,No relevent experience,Full time course,Graduate,STEM,3,<10,Funded Startup,1,11,1.0
2760,0.544,Male,Has relevent experience,Full time course,Graduate,STEM,1,500-999,Pvt Ltd,1,11,1.0
14121,0.89,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,NGO,1,112,1.0
18742,0.564,Male,Has relevent experience,Full time course,Masters,STEM,3,10/49,Pvt Ltd,1,93,1.0
6229,0.8360000000000001,Male,No relevent experience,Full time course,Graduate,STEM,1,10/49,Funded Startup,1,136,1.0
28955,0.9700000000000001,Male,No relevent experience,Part time course,Graduate,Humanities,<1,500-999,Pvt Ltd,1,12,1.0
22513,0.714,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,NGO,1,38,1.0
26039,0.86,Male,No relevent experience,Full time course,Graduate,STEM,1,1000-4999,Public Sector,1,13,1.0
14411,0.594,Male,Has relevent experience,Full time course,Masters,STEM,1,50-99,Pvt Ltd,1,45,1.0
18631,0.584,Male,Has relevent experience,Full time course,Masters,STEM,11,100-500,Pvt Ltd,4,1,1.0
24135,0.714,Male,Has relevent experience,Full time course,Masters,STEM,2,10/49,Pvt Ltd,1,237,1.0
18532,0.704,Male,Has relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,47,1.0
24964,0.604,Male,Has relevent experience,Full time course,Masters,STEM,2,1000-4999,Pvt Ltd,1,26,1.0
10557,0.684,Female,Has relevent experience,Full time course,Masters,STEM,9,50-99,Early Stage Startup,never,222,1.0
12089,0.544,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Early Stage Startup,1,199,1.0
19665,0.534,Male,Has relevent experience,Part time course,Graduate,STEM,8,10000+,Pvt Ltd,1,63,1.0
24937,0.714,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,4,201,1.0
22552,0.684,Male,Has relevent experience,Full time course,Graduate,STEM,4,<10,Pvt Ltd,1,44,1.0
28825,0.604,Male,Has relevent experience,Full time course,Graduate,STEM,8,5000-9999,Pvt Ltd,1,9,1.0
6616,0.694,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,1,22,1.0
6828,0.594,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,1,64,1.0
21630,0.544,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Early Stage Startup,1,34,1.0
2350,0.644,Male,Has relevent experience,Full time course,Graduate,STEM,13,10/49,Pvt Ltd,2,146,1.0
25898,0.664,Male,Has relevent experience,Full time course,Masters,STEM,17,10000+,Pvt Ltd,1,121,1.0
27359,0.54,Male,Has relevent experience,Part time course,Masters,STEM,9,50-99,Pvt Ltd,3,8,1.0
24708,0.52,Male,Has relevent experience,Full time course,Masters,STEM,4,100-500,NGO,2,39,1.0
11030,0.863,Male,Has relevent experience,Part time course,Graduate,STEM,17,10000+,Pvt Ltd,4,195,1.0
30654,0.724,Male,Has relevent experience,Full time course,Graduate,STEM,3,<10,Pvt Ltd,1,12,1.0
30558,0.574,Male,Has relevent experience,Full time course,Graduate,STEM,7,100-500,Funded Startup,2,44,1.0
14554,0.544,Male,Has relevent experience,Full time course,Masters,STEM,3,50-99,Pvt Ltd,1,103,1.0
5590,0.674,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,2,1.0
26835,0.574,Male,Has relevent experience,Full time course,Graduate,STEM,1,10/49,Pvt Ltd,never,13,1.0
30558,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,7,100-500,Funded Startup,2,44,1.0
30318,0.886,Male,Has relevent experience,Part time course,Masters,STEM,>20,50-99,Pvt Ltd,4,104,1.0
12346,0.614,Male,Has relevent experience,Full time course,Graduate,STEM,5,100-500,Pvt Ltd,never,11,1.0
28022,0.704,Male,Has relevent experience,Full time course,Masters,STEM,1,10/49,Pvt Ltd,1,25,1.0
28633,0.654,Male,Has relevent experience,Full time course,Masters,STEM,8,100-500,Pvt Ltd,2,35,1.0
5777,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,never,14,1.0
22553,0.564,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,129,1.0
32010,0.9500000000000001,Male,Has relevent experience,Part time course,Graduate,STEM,11,10000+,Pvt Ltd,4,29,1.0
22248,1.01,Female,Has relevent experience,Part time course,Graduate,STEM,16,100-500,Other,3,15,1.0
11771,0.714,Male,Has relevent experience,Full time course,Masters,STEM,7,10000+,Pvt Ltd,3,90,1.0
14257,0.644,Male,No relevent experience,Full time course,Graduate,STEM,13,10/49,NGO,1,25,1.0
7073,0.6579999999999999,Male,No relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,1,69,1.0
14095,0.6559999999999999,Male,Has relevent experience,Part time course,Graduate,Humanities,2,100-500,Pvt Ltd,2,16,1.0
6681,0.544,Male,Has relevent experience,Full time course,Graduate,STEM,7,500-999,Pvt Ltd,1,82,1.0
7715,0.569,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Pvt Ltd,2,86,1.0
8143,0.564,Female,No relevent experience,Full time course,Graduate,STEM,<1,10000+,Pvt Ltd,4,67,1.0
14823,0.654,Male,No relevent experience,Part time course,Graduate,No Major,5,<10,Early Stage Startup,4,43,1.0
26537,0.5700000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,16,<10,Early Stage Startup,2,31,1.0
21630,0.614,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Early Stage Startup,1,24,1.0
26445,0.852,Male,No relevent experience,Part time course,Graduate,Business Degree,<1,100-500,Pvt Ltd,1,71,1.0
26326,0.89,Female,Has relevent experience,Part time course,Graduate,STEM,15,10000+,Other,>4,67,1.0
19665,0.594,Male,Has relevent experience,Part time course,Graduate,STEM,8,10000+,Pvt Ltd,1,66,1.0
13989,0.5489999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,271,1.0
28952,0.99,Male,No relevent experience,Part time course,Graduate,STEM,3,100-500,Pvt Ltd,1,11,1.0
22370,0.4679999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,101,1.0
10557,0.594,Female,Has relevent experience,Full time course,Masters,STEM,9,50-99,Early Stage Startup,never,213,1.0
19579,0.664,Male,Has relevent experience,Full time course,Masters,STEM,3,50-99,Pvt Ltd,1,11,1.0
6229,0.906,Male,No relevent experience,Full time course,Graduate,STEM,1,10/49,Funded Startup,1,133,1.0
28952,0.87,Male,No relevent experience,Part time course,Graduate,STEM,3,100-500,Pvt Ltd,1,15,1.0
32043,0.724,Male,Has relevent experience,Full time course,Masters,STEM,10,50-99,Pvt Ltd,2,62,1.0
14257,0.604,Male,No relevent experience,Full time course,Graduate,STEM,13,10/49,NGO,1,16,1.0
19665,0.584,Male,Has relevent experience,Part time course,Graduate,STEM,8,10000+,Pvt Ltd,1,58,1.0
23998,0.4729999999999999,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,Pvt Ltd,1,121,1.0
4759,0.604,Male,Has relevent experience,Full time course,Masters,STEM,4,100-500,Pvt Ltd,1,16,1.0
26618,0.45600000000000007,Male,Has relevent experience,Part time course,Masters,STEM,2,10000+,Pvt Ltd,1,62,1.0
14714,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,4,110,1.0
28952,0.99,Male,No relevent experience,Part time course,Graduate,STEM,3,100-500,Pvt Ltd,1,4,1.0
24708,0.64,Male,Has relevent experience,Full time course,Masters,STEM,4,100-500,NGO,2,32,1.0
25069,0.534,Male,Has relevent experience,Full time course,Graduate,Other,3,1000-4999,Pvt Ltd,1,49,1.0
26326,0.8200000000000001,Female,Has relevent experience,Part time course,Graduate,STEM,15,10000+,Other,>4,69,1.0
17210,0.604,Male,Has relevent experience,Full time course,Masters,STEM,3,10/49,Pvt Ltd,never,13,1.0
12938,0.568,Male,Has relevent experience,Full time course,Graduate,STEM,1,10/49,Pvt Ltd,1,62,1.0
14823,0.544,Male,No relevent experience,Part time course,Graduate,No Major,5,<10,Early Stage Startup,4,41,1.0
14121,0.9400000000000001,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,NGO,1,110,1.0
11018,0.5089999999999999,Male,Has relevent experience,Full time course,Masters,Humanities,3,50-99,Pvt Ltd,1,12,1.0
28315,0.604,Male,Has relevent experience,Part time course,Masters,STEM,7,50-99,Funded Startup,1,16,1.0
28829,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,9,100-500,Pvt Ltd,1,76,1.0
9223,0.584,Female,Has relevent experience,Full time course,Graduate,STEM,2,<10,Early Stage Startup,2,87,1.0
19818,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,2,138,1.0
2350,0.534,Male,Has relevent experience,Full time course,Graduate,STEM,13,10/49,Pvt Ltd,2,144,1.0
14550,0.694,Male,No relevent experience,Full time course,Graduate,STEM,<1,50-99,Early Stage Startup,1,43,1.0
14569,0.574,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,2,61,1.0
